Laptop,Costprice,Sellingprice
Lenovo Ideapad Intel Celeron 1TB HDD 8GB RAM Win 10+ 32GB Flash,172990,207588
Lenovo Ideapad  Intel Celeron 1TB HDD 4GB RAM Win 10,155000,186000
Lenovo LP40 Bluetooth 5.0 Waterproof Earphone Touch Headset WHITE,5390,6468
Lenovo INTEL® CELERON® Lenovo Ideapad 4GB RAM DDR4 - 1TB HDD WIN 10 +USB LIGHT & 32GB Flash,127489,152986
Lenovo Xiaoxin K11 Pad 11inch 6GM RAM+ 128GB ROM WIFI Edition 7700Mah Tablet PC,99999,119998
Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Headset,5900,7080
Lenovo INTEL® CELERON® Lenovo Ideapad 4GB RAM DDR4 - 1TB HDD WIN 10 +USB LIGHT & 32GB Flash,126995,152394
Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM Windows 10 15.6 Laptop,119990,143988
Lenovo LP40 Bluetooth 5.0 Waterproof Earphone Touch Headset BLACK,4999,5998
"Lenovo V14 AMD RYZEN 3 3250U 1TB 8GB RAM 14.0""SCREEN WINS 10 +FREE MOUSE",207000,248400
Lenovo Ideapad  Intel Celeron 1TB HDD 4GB RAM Windows 10+ 32GB Flash,127489,152986
Lenovo LP40 Wireless Headsets Earbuds With Premium Stereo Bass Sound,5950,7140
Lenovo XT92 Wireless Bluetooth5.1 Earbuds In-ear Headphones,7500,9000
Lenovo IDEAPAD 15 Inch - 16GB RAM - INTEL CORE I3 - 1TB HDD- WINDOWS 10 PRO + Mouse,290000,348000
Lenovo LP40 Earbuds Bluetooth 5.0 True Wireless Headphones,5080,6096
Lenovo LP40 Upgrade Version Bluetooth 5.1 Headset BLACK,5290,6348
"Lenovo V14 AMD RYZEN 3 3250U 1TB 8GB RAM 14.0""SCREEN WINS 10 +FREE LEDLAMP",207000,248400
Lenovo LP3 Pro BT5.0 HiFi Sound Quality  Sport Headsets,6400,7680
Lenovo LP40 +bag Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch Control Dual Stereo Bass Earbud Sports Headset,5390,6468
Lenovo IdeaPad Core I3 4GB RAM 1TB ROM Freedos,203500,244200
Lenovo XG02 Wireless BT5.0 Gaming Headphones In-ear Gaming,7910,9492
Lenovo XT88 BT5.3 True Wireless In-ear Earbuds With Mic Touch Control,4490,5388
Lenovo LP40 + Bag Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch Control Dual Stereo Bass Earbud Sports Headset,5390,6468
"Lenovo V14 AMD RYZEN 3 3250U 1TB 8GB RAM 14.0""SCREEN WINS 10 +FREE LEDLAMP",207000,248400
Lenovo LP1S Upgraded Version Headset Touch Hifistereo Bluetooth BLACK,5599,6718
Lenovo IDEAPAD 15 Inch - 10TH GEN- INTEL CORE I3 - 8GB RAM- 1TB HDD- WINDOWS 10 PRO + Mouse,224488,269385
"Lenovo Ideapad  Intel Celeron 4GB RAM 1TB HDD 15.6"" Wins 10pro+ Free Bag",119000,142800
Lenovo Ideapad  Intel Celeron 1TB HDD 8GB RAM Win 10+ Free Mouse,172500,207000
Lenovo LP40 Upgrade Version Bluetooth 5.1 Headset,5650,6780
"Lenovo Ideapad  Intel Celeron 4GB RAM 1TB HDD 15.6"" Wins 10pro+ Mouse",117900,141480
Lenovo LP1 Pro True Wireless Headphones BT5.1 Sport Headset In-ear Music Earphone,7125,8550
Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM Windows 10 15.6-Inch + 16GB Flash Drive,119485,143382
Lenovo Ideapad  Intel Celeron 1TB HDD 4GB RAM Win 10 PRO + 32GB Flash,127489,152986
Lenovo XT80 Wireless BT5.1 Gaming Headphones In-ear Sports,7660,9192
Lenovo XT92 Gaming Low Latency Touch Bluetooth 5.1 Headset Black,6299,7558
Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch Control Dual Stereo Bass Earbud Sports Headset,4558,5469
Lenovo XT96 Wireless BT Headphones BT5.1 Semi-in-ear Sports,5940,7128
Lenovo HT38 Bluetooth 5.0 Earphone Wireless Earbuds With Mic,5990,7188
Lenovo INTEL® CELERON® Lenovo Ideapad 4GB RAM DDR4 - 1TB HDD WIN 10 +USB LIGHT & 32GB Flash,126995,152394
Lenovo Ideapad 15.6 - Intel Core I3 - 16GB RAM - 1TB HDD Windows 10 PRO + Mouse,247000,296400
